2023-04-15_04-36-50| Babajs Akbars#8443: tu normala esi?
2023-04-15_04-37-08| Babajs Akbars#8443: tev ar galvinu viss kartiba
2023-04-21_00-59-19| blinkijs#4969: yo
2023-04-21_01-01-38| blinkijs#4969: show me ww2 discord channel
2023-04-22_15-24-15| EddyThe3agle#6782: ey mani aizkara draugs vinja vards ir 100K vari ludzu vinjam uzrakstit personalu vestuli par gamingu,bet taja pasa laika nokave 5 stundas
2023-04-25_18-11-16| E.N.Z.I.O#4654: Ey sveika
2023-04-25_18-11-30| E.N.Z.I.O#4654: Ar tevi viss ir labi?
2023-04-25_22-29-58| DiamondFlare#4376: <@1085573614193094696>
2023-04-25_22-30-28| DiamondFlare#4376: test
2023-04-25_23-04-06| DiamondFlare#4376: <@1085573614193094696>
2023-04-25_23-04-17| DiamondFlare#4376: <@1085573614193094696>
2023-04-25_23-04-28| DiamondFlare#4376: <@1085573614193094696> Kas tu esi?
2023-04-25_23-06-21| DiamondFlare#4376: <@1085573614193094696>
2023-04-25_23-06-28| DiamondFlare#4376: <@1085573614193094696>
2023-04-25_23-06-34| DiamondFlare#4376: <@1085573614193094696>
2023-04-25_23-06-44| DiamondFlare#4376: ay
2023-04-25_23-07-02| DiamondFlare#4376: ay
2023-04-25_23-07-09| DiamondFlare#4376: ay
2023-04-25_23-07-28| DiamondFlare#4376: ay
2023-04-25_23-16-32| DiamondFlare#4376: ay
2023-04-25_23-17-16| DiamondFlare#4376: ay
2023-04-25_23-17-38| DiamondFlare#4376: ay
2023-04-25_23-18-16| DiamondFlare#4376: ay
2023-04-25_23-18-21| DiamondFlare#4376: ay
2023-04-25_23-18-47| DiamondFlare#4376: ay
2023-04-25_23-18-57| DiamondFlare#4376: ay
2023-04-25_23-20-04| DiamondFlare#4376: ay
2023-04-25_23-20-49| DiamondFlare#4376: ay
2023-04-25_23-20-55| DiamondFlare#4376: ay
2023-04-25_23-21-01| DiamondFlare#4376: ay
2023-04-25_23-21-06| DiamondFlare#4376: ay
2023-04-25_23-21-15| DiamondFlare#4376: ay
2023-04-25_23-21-20| DiamondFlare#4376: ay
2023-04-25_23-22-55| DiamondFlare#4376: ay
2023-04-25_23-23-06| DiamondFlare#4376: ay
2023-04-25_23-23-23| DiamondFlare#4376: ay
2023-04-25_23-23-32| DiamondFlare#4376: ay
2023-04-25_23-26-06| DiamondFlare#4376: ay
2023-04-25_23-26-17| DiamondFlare#4376: ay
2023-04-25_23-26-23| DiamondFlare#4376: ay
2023-04-25_23-26-35| DiamondFlare#4376: ay
2023-04-25_23-26-52| DiamondFlare#4376: tad saki blec
2023-04-25_23-27-12| DiamondFlare#4376: ay
2023-04-25_23-27-59| DiamondFlare#4376: ay
2023-04-25_23-28-52| DiamondFlare#4376: ay
2023-04-25_23-30-03| DiamondFlare#4376: ay
2023-04-25_23-30-28| DiamondFlare#4376: ay
2023-04-25_23-30-37| DiamondFlare#4376: ay
2023-04-25_23-31-01| DiamondFlare#4376: ay
2023-04-25_23-31-39| DiamondFlare#4376: ay
2023-04-25_23-31-44| DiamondFlare#4376: ay
2023-04-25_23-31-56| DiamondFlare#4376: ay
2023-04-25_23-32-09| DiamondFlare#4376: ay
2023-04-25_23-32-21| DiamondFlare#4376: ay
2023-04-25_23-32-57| DiamondFlare#4376: ay
2023-04-25_23-33-26| DiamondFlare#4376: ay
2023-04-25_23-33-36| DiamondFlare#4376: ay
2023-04-25_23-33-45| DiamondFlare#4376: ay
2023-04-25_23-34-00| DiamondFlare#4376: ay
2023-04-25_23-34-13| DiamondFlare#4376: ay
2023-04-25_23-34-28| DiamondFlare#4376: ay
2023-04-25_23-34-56| DiamondFlare#4376: ay
2023-04-25_23-35-58| DiamondFlare#4376: ay
2023-04-25_23-36-07| DiamondFlare#4376: ay
2023-04-25_23-36-41| DiamondFlare#4376: ay
2023-04-25_23-48-38| DiamondFlare#4376: ay
2023-04-25_23-48-43| DiamondFlare#4376: ay
2023-04-25_23-48-53| DiamondFlare#4376: ay
2023-04-25_23-49-00| DiamondFlare#4376: ay
2023-04-25_23-49-11| DiamondFlare#4376: ay
2023-04-25_23-49-20| DiamondFlare#4376: ay
2023-04-25_23-49-26| DiamondFlare#4376: ay
2023-04-25_23-49-31| DiamondFlare#4376: ay
2023-04-25_23-49-35| DiamondFlare#4376: ay
2023-04-25_23-49-42| DiamondFlare#4376: ay
2023-04-25_23-49-55| DiamondFlare#4376: Pis taisni
2023-04-25_23-50-43| DiamondFlare#4376: ay
2023-04-25_23-51-02| DiamondFlare#4376: ay
